ID,dmitry_rgf3,dmitry_rgf5,dmitry_rgf6,dmitry_adaboost_classifier,dmitry_xgboost
1,110492.1,93046.2,109643.825,83550.4,87235.175
3,104716.7,100232.4,105302.5,95537.45,84253.8
4,4768.7,9141.475,13292.425,30696.95,16119.65
8,98449.95,111623.75,105029.85,120013.9,101975.3
10,68626.75,76124.35,60822.7,52162.45,57083.15
13,64359.15,58789.125,56905.125,72108.9,54963.7
14,75782.275,85030.75,82330.6,86009.05,93367.4
18,58953.65,59368.65,58656.1,72399.925,70674.55
20,144138.6,144970.35,145691.875,140895.125,144163.9
23,60943.425,51559.35,61437.1,54224.125,47624.075
25,60992.2,78547.7,48676.9,93093.7,81400.45
26,124060.55,121670.975,122340.175,124013.325,110061.75
29,107203.0,113258.1,108255.075,82601.725,109662.4
31,30151.925,36306.4,19424.525,8508.05,25526.05
32,99028.0,102973.0,98622.2,100391.0,108449.5
34,106022.525,113337.1,112703.525,105666.625,109344.55
36,141082.55,138810.725,141209.875,148048.275,139190.25
39,23063.45,34095.975,28574.85,52033.15,53639.5
42,41848.35,58182.55,30523.15,4355.45,43266.6
43,64952.4,69090.45,61010.6,98507.85,88272.5
45,80117.875,69395.9,79677.575,77385.1,59464.45
49,92539.825,99036.475,99827.725,99736.05,103939.7
51,123258.4,121312.3,122682.85,124022.025,119848.4
54,124568.75,127993.9,126869.05,120667.95,126589.45
56,146625.35,145037.275,147071.525,147878.35,144308.2
60,108980.35,113082.85,111311.45,15030.3,97585.4
61,65798.25,62643.725,60195.475,74976.175,57184.45
66,121890.575,116540.825,123328.025,114320.2,118348.3
68,53318.825,49483.225,35528.9,50844.15,45689.15
74,40633.425,28587.1,38656.625,12053.5,31234.25
75,63919.675,71407.95,73769.75,4361.775,44656.5
77,145097.5,144212.7,145291.5,148666.55,144850.75
80,94925.8,90729.5,90381.375,118279.075,92020.85
82,83857.65,81423.45,84705.9,75067.75,76619.9
83,118148.0,121028.65,118242.05,124119.6,126524.05
84,80389.0,68101.625,84942.75,76551.5,61364.55
87,150557.45,149449.25,150650.875,148888.7,148989.75
88,133411.85,132580.15,132481.1,137748.7,134017.9
90,21641.075,21903.75,22157.075,14653.225,5974.25
91,21803.15,32399.575,16906.65,48022.9,44243.4
92,138892.8,139293.2,140694.4,140426.65,139111.4
93,29335.175,24450.075,31023.025,1122.325,14889.05
95,32625.5,31143.75,25244.45,48828.0,56534.5
101,68434.5,57843.175,56853.0,54901.0,46040.55
102,125008.1,122746.2,123473.5,110259.15,125598.2
105,62566.025,54361.45,65754.95,71622.05,53326.05
106,38689.625,35912.225,26552.65,21437.85,26901.4
107,30640.125,48141.3,28613.175,32428.875,37084.6
109,10716.55,17521.0,12742.05,15493.025,23496.4
111,134373.95,133807.95,132909.475,138035.8,131010.95
113,40647.675,45380.15,52303.8,34505.55,44365.75
115,21124.075,15401.75,14521.625,1635.25,5201.65
118,141584.0,141826.475,141483.2,145602.625,141393.5
122,69641.7,75183.3,62242.1,59.4,27169.65
125,79204.775,83285.425,89419.075,87091.075,87975.5
127,5939.725,12359.3,8461.875,19350.825,17403.1
130,137236.9,136202.25,137856.075,131257.4,133164.9
131,100118.375,97900.675,101956.425,117823.15,90039.8
132,80107.2,101925.4,89475.1,90862.9,90175.7
134,39559.375,34899.55,30502.225,7498.4,19796.3
135,50298.7,61822.25,52626.225,56879.15,58971.5
136,99330.6,101618.05,99961.75,109455.35,86562.55
137,99754.975,87371.15,100551.95,84519.325,83433.4
139,84436.025,81372.9,88301.55,114033.275,82568.7
140,46207.475,54892.925,36110.0,43767.525,51784.2
141,144710.775,145938.425,144400.95,140892.925,145139.65
142,89685.525,88589.525,96026.3,86054.45,95404.65
143,32728.25,35063.925,40421.85,33616.6,9502.6
144,43035.6,45645.65,32990.525,57825.525,40584.3
145,121709.05,110354.525,122381.45,105411.825,108372.7
146,18685.225,17246.925,18735.55,10596.2,2501.1
148,116723.15,107005.6,113423.15,95434.65,108301.45
150,135995.05,136689.35,135048.1,113454.55,136921.0
151,56352.875,47280.575,49238.1,53872.975,41450.45
152,47784.925,49558.8,65157.4,99146.575,63655.9
153,56321.55,59489.85,64712.15,61531.375,33826.7
154,138908.7,137878.45,139820.75,149143.7,139854.0
155,9183.2,18925.6,11567.35,17383.325,26408.25
156,37974.675,39545.85,51308.475,35437.925,17633.7
157,13819.625,28064.15,21767.525,23599.45,29054.5
159,95151.6,98158.5,96544.85,98441.65,103097.4
161,43886.525,45384.675,42209.5,58815.85,40049.7
162,107897.075,108545.05,108727.075,124295.8,111473.4
163,42853.95,56914.45,45842.75,5339.25,27498.9
165,34258.95,25961.925,17640.25,20433.75,9731.8
166,48298.875,52001.65,52686.925,59497.0,40746.025
169,80054.5,80011.1,70066.3,80516.475,82220.5
170,29999.725,38003.15,50754.075,24880.05,33681.9
171,134974.075,134737.1,134118.525,136918.05,132299.85
172,116773.75,116550.25,114806.05,111896.3,117992.65
173,7814.325,13094.0,7699.4,1378.35,26929.8
175,15558.625,19066.95,15968.85,21821.65,37190.9
176,63905.35,69232.25,65240.05,73758.1,65953.05
177,106920.925,110031.5,106552.5,104528.05,91102.0
178,17518.25,19015.5,19080.225,10104.9,13189.95
179,64160.575,59047.175,62180.4,46490.875,56357.6
180,71399.2,68693.5,73177.6,51561.925,19328.05
182,150895.7,150105.95,150882.6,150737.4,151670.25
183,50792.3,57643.0,59719.05,95460.8,59646.75
184,19516.775,26395.0,12816.325,6930.025,1151.55
186,45530.25,48535.05,53490.05,35398.325,12691.55
188,87677.85,91719.25,88982.85,69860.05,98165.1
191,73134.6,66777.1,74996.65,44227.975,35777.35
192,15527.45,21836.85,17827.975,13125.9,3965.45
193,59299.3,60131.0,56296.95,5799.025,25506.25
195,93665.35,93512.7,91260.3,107476.475,100905.45
196,110091.65,106071.3,114302.3,98533.7,109555.95
199,128713.225,129431.2,128737.0,125524.975,128286.6
200,51262.275,53395.775,47549.25,61478.95,59800.8
202,144875.775,144417.3,146647.25,145326.4,143892.6
203,149110.675,148712.9,149402.9,145833.7,148193.35
204,98656.15,105166.675,99247.75,111900.625,108894.05
206,57028.75,80151.75,62649.25,89649.975,69526.05
207,44974.7,55138.225,57645.6,40962.4,41352.2
209,103970.85,109951.0,103101.3,106641.35,113158.6
210,26777.7,20820.675,27125.05,37275.6,23998.45
212,93751.75,96887.55,93830.85,88792.525,91967.65
213,95635.5,113899.7,91747.0,102786.7,93092.25
214,98718.9,89419.85,97996.375,69163.2,76622.2
215,105808.85,103322.65,101781.7,100683.8,92836.65
217,36099.9,49997.85,32622.375,69825.425,55645.2
218,111411.575,116885.2,105229.15,114358.325,114488.9
220,18739.75,31306.85,16769.7,32236.75,49439.95
221,57622.7,64138.35,52914.825,58677.825,51688.25
222,67247.25,75306.55,66839.85,106824.725,89127.25
225,47211.55,58392.25,52934.0,44506.025,33445.65
227,30258.5,32558.775,39471.75,12136.2,9350.6
228,92307.7,110502.2,87534.45,73950.7,98989.85
